conversation_id,timestamp,user_message,agent_response,category,sentiment,resolution_status
2083,2023-06-01 22:01:00,Are you open on weekends?,We’re open 9am–6pm Mon–Sat.,Service Hours,Negative,Resolved
2084,2023-06-01 12:34:00,Are you open on weekends?,"Yes, support is available on weekends.",Service Hours,Positive,Resolved
2085,2023-06-01 11:16:00,Error 404 appears often.,Try updating to the latest version.,App Errors,Positive,Pending
2086,2023-06-02 03:56:00,The screen goes black after login.,We're aware and working on a fix.,App Errors,Positive,Escalated
2087,2023-06-01 12:56:00,I forgot my username.,We'll check your login activity.,Login Issues,Positive,Pending
2088,2023-06-01 16:26:00,Can I contact support at night?,Night support is available via chat only.,Service Hours,Positive,Resolved
2089,2023-06-01 12:43:00,I forgot my username.,We'll check your login activity.,Login Issues,Positive,Escalated
2090,2023-06-01 14:21:00,The app freezes randomly.,Please reinstall the app and try again.,App Errors,Negative,Escalated
2091,2023-06-01 10:35:00,Error 404 appears often.,We're aware and working on a fix.,App Errors,Negative,Resolved
2092,2023-06-02 04:35:00,The app freezes randomly.,Try updating to the latest version.,App Errors,Negative,Resolved
2093,2023-06-02 03:19:00,I want a refund for my last purchase.,Refunds take 3-5 business days.,Refund Requests,Negative,Escalated
2094,2023-06-02 00:48:00,I want a refund for my last purchase.,Refunds take 3-5 business days.,Refund Requests,Negative,Resolved
2095,2023-06-02 06:49:00,I was charged incorrectly.,"Sorry for the error, a refund will be issued.",Refund Requests,Positive,Escalated
2096,2023-06-02 07:43:00,Error 404 appears often.,We're aware and working on a fix.,App Errors,Positive,Escalated
2097,2023-06-01 23:16:00,Can I contact support at night?,We’re open 9am–6pm Mon–Sat.,Service Hours,Neutral,Escalated
2098,2023-06-01 14:49:00,Error 404 appears often.,We're aware and working on a fix.,App Errors,Positive,Escalated
2099,2023-06-01 13:44:00,Still waiting for my package.,Let me escalate this to logistics.,Delivery Delays,Neutral,Pending
